jd,source_filename,stage2_rank,stage2_score,expected_stage1,expected_relevance_band,expected_relevance_score,actual_stage1,stage3_attempts,final_status,final_score,failure_code
JD02,CV0406.pdf,8,0.2155,REVIEW,moderate,100.0,REVIEW,1,REVIEW_REQUIRED,70.0,
JD02,CV0483.pdf,9,0.1111,PASS,high,95.0,REVIEW,1,REVIEW_REQUIRED,76.0,
JD02,CV0439.pdf,10,0.11,PASS,high,91.67,REVIEW,1,REVIEW_REQUIRED,82.0,
JD02,CV0440.pdf,11,0.0823,PASS,high,91.67,REVIEW,1,REVIEW_REQUIRED,79.5,
JD02,CV0469.pdf,12,0.0554,PASS,high,95.0,REVIEW,1,SUCCESS,79.0,
JD02,CV0393.pdf,13,0.0554,PASS,high,91.67,REVIEW,1,REVIEW_REQUIRED,58.5,
JD02,CV0456.pdf,14,0.0234,PASS,high,95.0,REVIEW,1,REVIEW_REQUIRED,73.3,
JD02,CV0173.pdf,15,0.0,FAIL,unrelated,20.0,REVIEW,1,REVIEW_REQUIRED,34.5,
JD02,CV0696.pdf,16,0.0,FAIL,unrelated,20.0,REVIEW,1,SUCCESS,41.5,
JD02,CV0249.pdf,17,0.0,FAIL,unrelated,20.0,REVIEW,1,REVIEW_REQUIRED,36.0,
JD02,CV0289.pdf,18,0.0,FAIL,unrelated,26.67,REVIEW,1,REVIEW_REQUIRED,50.0,
JD02,CV0445.pdf,19,0.0,PASS,high,88.33,REVIEW,1,REVIEW_REQUIRED,60.2,
JD02,CV0212.pdf,20,0.0,FAIL,unrelated,16.11,REVIEW,1,REVIEW_REQUIRED,26.5,
JD02,CV0912.pdf,21,0.0,FAIL,unrelated,20.0,REVIEW,1,REVIEW_REQUIRED,12.0,
JD02,CV0081.pdf,22,0.0,FAIL,unrelated,8.89,REVIEW,1,REVIEW_REQUIRED,30.0,
JD02,CV0392.pdf,23,0.0,PASS,high,88.33,REVIEW,1,SUCCESS,60.5,
JD02,CV0480.pdf,24,0.0,REVIEW,moderate,88.33,REVIEW,1,REVIEW_REQUIRED,66.0,
JD02,CV0630.pdf,25,0.0,FAIL,unrelated,8.33,REVIEW,2,REVIEW_REQUIRED,25.5,
JD02,CV0786.pdf,26,0.0,FAIL,unrelated,26.67,REVIEW,3,EVALUATION_FAILED,,PROVIDER_ERROR
JD02,CV0348.pdf,27,0.0,FAIL,moderate,74.86,REVIEW,3,REVIEW_REQUIRED,44.0,
JD02,CV0876.pdf,28,0.0,FAIL,unrelated,23.33,REVIEW,2,EVALUATION_FAILED,,INVALID_LLM_OUTPUT
JD02,CV0908.pdf,29,0.0,FAIL,unrelated,23.33,REVIEW,3,REVIEW_REQUIRED,32.5,
JD02,CV0037.pdf,30,0.0,FAIL,unrelated,23.33,REVIEW,3,REVIEW_REQUIRED,47.5,
JD03,CV0628.pdf,1,2.2199,REVIEW,moderate,91.67,REVIEW,2,REVIEW_REQUIRED,67.5,
JD03,CV0560.pdf,2,1.8431,FAIL,moderate,82.5,REVIEW,2,REVIEW_REQUIRED,61.0,
JD03,CV0563.pdf,3,1.6918,PASS,high,95.0,REVIEW,2,REVIEW_REQUIRED,87.0,
JD03,CV0644.pdf,4,1.6915,PASS,high,91.67,REVIEW,3,REVIEW_REQUIRED,83.5,
JD03,CV0587.pdf,5,1.621,PASS,high,95.0,REVIEW,2,REVIEW_REQUIRED,88.0,
JD03,CV0708.pdf,6,1.6168,PASS,high,91.67,REVIEW,2,EVALUATION_FAILED,,INVALID_LLM_OUTPUT
JD03,CV0610.pdf,7,1.5975,PASS,high,91.67,REVIEW,2,REVIEW_REQUIRED,54.9,
JD03,CV0737.pdf,8,1.4835,REVIEW,moderate,95.0,REVIEW,2,REVIEW_REQUIRED,88.5,
JD03,CV0612.pdf,9,1.4299,REVIEW,moderate,88.33,REVIEW,2,REVIEW_REQUIRED,69.3,
JD03,CV0609.pdf,10,1.4285,FAIL,moderate,83.33,REVIEW,3,REVIEW_REQUIRED,39.5,
JD03,CV0725.pdf,11,1.373,PASS,high,88.33,REVIEW,3,REVIEW_REQUIRED,69.9,
JD03,CV0607.pdf,12,1.248,PASS,high,91.67,REVIEW,1,SUCCESS,83.3,
JD03,CV0565.pdf,13,1.1548,PASS,high,85.0,REVIEW,1,REVIEW_REQUIRED,86.6,
JD03,CV0699.pdf,14,1.0799,REVIEW,moderate,88.33,REVIEW,1,REVIEW_REQUIRED,81.2,
JD03,CV0663.pdf,15,1.0455,REVIEW,moderate,68.75,REVIEW,1,REVIEW_REQUIRED,75.7,
JD03,CV0575.pdf,16,1.0293,FAIL,moderate,85.0,REVIEW,1,REVIEW_REQUIRED,69.5,
JD03,CV0592.pdf,17,0.9643,FAIL,moderate,80.83,REVIEW,1,REVIEW_REQUIRED,61.0,
JD03,CV0577.pdf,18,0.9322,PASS,high,91.67,REVIEW,1,REVIEW_REQUIRED,74.2,
JD03,CV0712.pdf,19,0.9275,REVIEW,moderate,86.67,REVIEW,1,REVIEW_REQUIRED,67.1,
JD03,CV0657.pdf,20,0.8463,PASS,high,85.0,REVIEW,1,EVALUATION_FAILED,,INVALID_LLM_OUTPUT
JD03,CV0589.pdf,21,0.7941,PASS,high,88.33,REVIEW,1,REVIEW_REQUIRED,89.0,
JD03,CV0584.pdf,22,0.7652,PASS,high,88.33,REVIEW,1,REVIEW_REQUIRED,70.5,
JD03,CV0655.pdf,23,0.7422,PASS,high,91.67,REVIEW,1,REVIEW_REQUIRED,76.8,
JD03,CV0710.pdf,24,0.6463,FAIL,moderate,68.75,REVIEW,1,EVALUATION_FAILED,,INVALID_LLM_OUTPUT
JD03,CV0700.pdf,25,0.6265,REVIEW,moderate,72.08,REVIEW,1,REVIEW_REQUIRED,52.0,
JD03,CV0691.pdf,26,0.6197,REVIEW,moderate,88.33,REVIEW,1,REVIEW_REQUIRED,69.0,
JD03,CV0656.pdf,27,0.5932,REVIEW,moderate,85.0,REVIEW,1,REVIEW_REQUIRED,53.5,
JD03,CV0724.pdf,28,0.5888,PASS,high,88.33,REVIEW,1,REVIEW_REQUIRED,60.5,
JD03,CV0626.pdf,29,0.5546,REVIEW,low,59.17,REVIEW,1,EVALUATION_FAILED,,INVALID_LLM_OUTPUT
JD03,CV0951.pdf,30,0.5477,REVIEW,moderate,91.67,REVIEW,1,REVIEW_REQUIRED,56.0,
JD01,CV0248.pdf,1,1.8998,PASS,high,90.0,REVIEW,1,SUCCESS,85.5,
JD01,CV0177.pdf,2,1.6238,REVIEW,moderate,78.06,REVIEW,1,REVIEW_REQUIRED,54.5,
JD01,CV0280.pdf,3,1.6068,REVIEW,moderate,71.25,REVIEW,1,REVIEW_REQUIRED,51.5,
JD01,CV0259.pdf,4,1.523,PASS,high,87.5,REVIEW,1,REVIEW_REQUIRED,73.7,
JD01,CV0002.pdf,5,1.5052,FAIL,moderate,62.36,REVIEW,1,EVALUATION_FAILED,,PROVIDER_ERROR
JD01,CV0218.pdf,6,1.4788,REVIEW,moderate,73.75,REVIEW,1,SUCCESS,47.5,
JD01,CV0113.pdf,7,1.4476,FAIL,moderate,80.83,REVIEW,1,REVIEW_REQUIRED,66.2,
JD01,CV0279.pdf,8,1.402,PASS,high,90.0,REVIEW,1,EVALUATION_FAILED,,INVALID_LLM_OUTPUT
JD01,CV0029.pdf,9,1.3876,FAIL,low,54.86,REVIEW,1,REVIEW_REQUIRED,40.5,
JD01,CV0176.pdf,10,1.3799,FAIL,low,59.58,REVIEW,1,REVIEW_REQUIRED,55.0,
JD01,CV0063.pdf,11,1.334,FAIL,low,45.56,REVIEW,1,REVIEW_REQUIRED,47.0,
JD01,CV0022.pdf,12,1.3301,PASS,high,87.5,REVIEW,1,REVIEW_REQUIRED,50.5,
JD01,CV0227.pdf,13,1.3193,FAIL,moderate,63.47,REVIEW,1,SUCCESS,54.0,
JD01,CV0244.pdf,14,1.2795,PASS,high,90.0,REVIEW,1,REVIEW_REQUIRED,75.5,
JD01,CV0194.pdf,15,1.2658,PASS,high,92.5,REVIEW,1,REVIEW_REQUIRED,70.0,
JD01,CV0229.pdf,16,1.235,PASS,high,90.0,REVIEW,2,REVIEW_REQUIRED,69.0,
JD01,CV0508.pdf,17,1.2301,REVIEW,moderate,68.75,REVIEW,1,EVALUATION_FAILED,,INVALID_LLM_OUTPUT
JD01,CV0226.pdf,18,1.2254,PASS,high,87.5,REVIEW,2,REVIEW_REQUIRED,64.0,
JD01,CV0166.pdf,19,1.2236,REVIEW,moderate,73.75,REVIEW,4,REVIEW_REQUIRED,68.0,
JD01,CV0125.pdf,20,1.1862,PASS,high,92.5,REVIEW,5,EVALUATION_FAILED,,PROVIDER_TRANSIENT_RETRY_EXHAUSTED
JD01,CV0906.pdf,21,1.1743,REVIEW,moderate,68.19,REVIEW,2,REVIEW_REQUIRED,54.5,
JD01,CV0198.pdf,22,1.1149,REVIEW,moderate,76.25,REVIEW,1,REVIEW_REQUIRED,75.5,
JD01,CV0289.pdf,23,1.1116,PASS,high,90.0,REVIEW,5,EVALUATION_FAILED,,PROVIDER_RATE_LIMIT_EXHAUSTED
JD01,CV0217.pdf,24,1.1007,PASS,high,87.5,REVIEW,3,REVIEW_REQUIRED,57.0,
JD01,CV0212.pdf,25,1.0915,REVIEW,low,51.11,REVIEW,1,REVIEW_REQUIRED,52.5,
JD01,CV0174.pdf,26,1.0813,PASS,high,92.5,REVIEW,4,REVIEW_REQUIRED,65.3,
JD01,CV0070.pdf,27,1.0733,PASS,high,90.0,REVIEW,5,EVALUATION_FAILED,,PROVIDER_TRANSIENT_RETRY_EXHAUSTED
JD01,CV0256.pdf,28,1.0621,REVIEW,moderate,73.75,REVIEW,5,EVALUATION_FAILED,,PROVIDER_TRANSIENT_RETRY_EXHAUSTED
JD01,CV0056.pdf,29,1.0387,PASS,high,90.0,REVIEW,5,EVALUATION_FAILED,,PROVIDER_TRANSIENT_RETRY_EXHAUSTED
JD01,CV0119.pdf,30,1.0209,PASS,high,97.5,REVIEW,5,EVALUATION_FAILED,,PROVIDER_TRANSIENT_RETRY_EXHAUSTED
